filename,transcript_perekaman,transcript_training
novita_f_20201030_00039_dongeng_yogyakarta,"Pada malam harinya, ia mendapat petunjuk melalui mimpi.",pada malam harinya ia mendapat petunjuk melalui mimpi 
novita_f_20201030_00040_dongeng_yogyakarta,"Dalam mimpi itu, ia didatangi seekor landak besar.",dalam mimpi itu ia didatangi seekor landak besar 
novita_f_20201030_00041_dongeng_yogyakarta,izinkanlah hamba tinggal di rumah kalian ,izinkanlah hamba tinggal di rumah kalian 
novita_f_20201030_00042_dongeng_yogyakarta,Si petani pun dengan cepat menghafal kedua mantra tersebut.,si petani pun dengan cepat menghafal kedua mantra tersebut 
novita_f_20201030_00043_dongeng_yogyakarta,"Keesokan harinya, petani itu bercerita kepada istrinya perihal mimpinya semalam.",keesokan harinya petani itu bercerita kepada istrinya perihal mimpinya semalam 
novita_f_20201030_00044_dongeng_yogyakarta,"Mendengar cerita itu, sang Istri tidak sabar lagi ingin membuktikannya.",mendengar cerita itu sang istri tidak sabar lagi ingin membuktikannya 
novita_f_20201030_00045_dongeng_yogyakarta,"Setelah itu, ia pun menyampaikan keinginannya.Wahai, patung landak! ",setelah itu ia pun menyampaikan keinginannya wahai patung landak 
novita_f_20201030_00046_dongeng_yogyakarta,"Setelah mendapatkan beras yang cukup, si Petani pun segera membaca mantra kedua untuk menghentikannya.",setelah mendapatkan beras yang cukup si petani pun segera membaca mantra kedua untuk menghentikannya 
novita_f_20201030_00047_dongeng_yogyakarta,Beras itu pun berhenti keluar dari mulut patung landak itu.,beras itu pun berhenti keluar dari mulut patung landak itu 
novita_f_20201030_00048_dongeng_yogyakarta,"Maka, dalam waktu singkat, mereka pun menjadi kaya raya.",maka dalam waktu singkat mereka pun menjadi kaya raya 
novita_f_20201030_00049_dongeng_yogyakarta,Keinginannya untuk membantu orang yang susah pun terkabulkan.,keinginannya untuk membantu orang yang susah pun terkabulkan 
novita_f_20201030_00050_dongeng_yogyakarta,Sebagian hartanya ia bagi-bagikan kepada mereka.,sebagian hartanya ia bagi bagikan kepada mereka 
novita_f_20201030_00051_dongeng_yogyakarta,"Rupanya, di antara warga kampung itu, ada seorang perampok yang merasa iri.",rupanya di antara warga kampung itu ada seorang perampok yang merasa iri 
novita_f_20201030_00052_dongeng_yogyakarta,Ia pun segera menyelidiki asal muasal harta kekayaan suami istri itu.,ia pun segera menyelidiki asal muasal harta kekayaan suami istri itu 
novita_f_20201030_00053_dongeng_yogyakarta,"Setelah terus-menerus mengamati dan mengintai, akhirnya perampok itu mengetahui rahasia kekayaan mereka.",setelah terus menerus mengamati dan mengintai akhirnya perampok itu mengetahui rahasia kekayaan mereka 
novita_f_20201030_00054_dongeng_yogyakarta,Ia segera membuat patung landak yang bentuknya mirip patung landak yang sakti itu.,ia segera membuat patung landak yang bentuknya mirip patung landak yang sakti itu 
novita_f_20201030_00055_dongeng_yogyakarta,"Saat itu, Ngabang sedang dilanda kekeringan.",saat itu ngabang sedang dilanda kekeringan 
novita_f_20201030_00056_dongeng_yogyakarta,Warga sangat kesulitan mendapatkan air.,warga sangat kesulitan mendapatkan air 
novita_f_20201030_00057_dongeng_yogyakarta,"Jangankan untuk mandi, air untuk dipakai memasak pun sangat sulit mereka peroleh.",jangankan untuk mandi air untuk dipakai memasak pun sangat sulit mereka peroleh 
novita_f_20201030_00058_dongeng_yogyakarta,"Melihat keadaan itu, timbullah niat si perampok untuk menjadi pemimpin di daerah itu.",melihat keadaan itu timbullah niat si perampok untuk menjadi pemimpin di daerah itu 
novita_f_20201030_00059_dongeng_yogyakarta,Ia pun segera mengumpulkan seluruh warga untuk menarik simpati mereka.,ia pun segera mengumpulkan seluruh warga untuk menarik simpati mereka 
novita_f_20201030_00060_dongeng_yogyakarta,Aku akan membantu kalian dari kesulitan yang kalian hadapi.,aku akan membantu kalian dari kesulitan yang kalian hadapi 
novita_f_20201030_00061_dongeng_yogyakarta,Si Perampok kemudian mengusap kepala patung landak emas itu lalu membaca mantra pertama.,si perampok kemudian mengusap kepala patung landak emas itu lalu membaca mantra pertama 
novita_f_20201030_00062_dongeng_yogyakarta,"Seketika, air pun memancar keluar dari mulut patung landak emas itu dengan deras.",seketika air pun memancar keluar dari mulut patung landak emas itu dengan deras 
novita_f_20201030_00063_dongeng_yogyakarta,Semua warga bersorak-sorai gembira dan berlomba-lomba menadahi air itu dengan tempayan.,semua warga bersorak sorai gembira dan berlomba lomba menadahi air itu dengan tempayan 
novita_f_20201030_00064_dongeng_yogyakarta,... horeee...kita dapat air! terdengar teriakan gembira seluruh warga ,horeee kita dapat air terdengar teriakan gembira seluruh warga 
novita_f_20201030_00065_dongeng_yogyakarta,"Semakin lama, semburan air itu semakin deras hingga menggenangi daerah tersebut.",semakin lama semburan air itu semakin deras hingga menggenangi daerah tersebut 
novita_f_20201030_00066_dongeng_yogyakarta,Para warga yang mulai cemas segera meminta kepada si Perampok agar menghentikannya.Cukup...cukup...! ,para warga yang mulai cemas segera meminta kepada si perampok agar menghentikannya cukup cukup 
novita_f_20201030_00067_dongeng_yogyakarta,Cepat hentikan...! teriak para warga.0 Si perampok berusaha menutup mulut patung landak itu dengan telapak tangannya.,cepat hentikan teriak para warga  si perampok berusaha menutup mulut patung landak itu dengan telapak tangannya 
novita_f_20201030_00068_dongeng_yogyakarta,"Namun, ia tak kuasa membendung derasnya semburan air.",namun ia tak kuasa membendung derasnya semburan air 
novita_f_20201030_00069_dongeng_yogyakarta,Rupanya ia tidak mengetahui mantra kedua karena ia hanya menyaksikan petani itu membaca mantra yang pertama.,rupanya ia tidak mengetahui mantra kedua karena ia hanya menyaksikan petani itu membaca mantra yang pertama 
novita_f_20201030_00070_dongeng_yogyakarta,"Semakin lama, semburan air yang keluar dari mulut patung landak itu semakin deras.",semakin lama semburan air yang keluar dari mulut patung landak itu semakin deras 
novita_f_20201030_00071_dongeng_yogyakarta,Sebagian wilayah Ngabang pun mulai tergenang banjir.,sebagian wilayah ngabang pun mulai tergenang banjir 
novita_f_20201030_00072_dongeng_yogyakarta,"Si Perampok juga ingin melarikan diri, namun ia tidak dapat menggerakkan kaki dan tangannya.",si perampok juga ingin melarikan diri namun ia tidak dapat menggerakkan kaki dan tangannya 
novita_f_20201030_00073_dongeng_yogyakarta,Daerah Ngabang pun terendam banjir besar hingga menenggelamkan si perampok bersama patung landak emas.,daerah ngabang pun terendam banjir besar hingga menenggelamkan si perampok bersama patung landak emas 
novita_f_20201030_00074_dongeng_yogyakarta,"Sementara itu, patung landak itu terus-menerus menyemburkan air.",sementara itu patung landak itu terus menerus menyemburkan air 
novita_f_20201030_00075_dongeng_yogyakarta,Aliran Sungai Landak ini melewati tengah-tengah Kota Ngabang.,aliran sungai landak ini melewati tengah tengah kota ngabang 
novita_f_20201030_00076_dongeng_yogyakarta,"Demikian cerita Legenda Sungai Landak dari Ngabang, Kalimantan Barat.",demikian cerita legenda sungai landak dari ngabang kalimantan barat 
novita_f_20201030_00077_dongeng_yogyakarta,"Di mana pun pergi, kedua kakak-beradik tersebut senantiasa selalu bersama dan saling membantu.",di mana pun pergi kedua kakak beradik tersebut senantiasa selalu bersama dan saling membantu 
novita_f_20201030_00078_dongeng_yogyakarta,"Pada suatu hari, sang Adik, Lona Rara, sangat marah kepada kakaknya, sehingga berniat untuk menghilangkan nyawanya.",pada suatu hari sang adik lona rara sangat marah kepada kakaknya sehingga berniat untuk menghilangkan nyawanya 
novita_f_20201030_00079_dongeng_yogyakarta,Mengapa Lona Rara sangat marah kepada kakaknya? ,mengapa lona rara sangat marah kepada kakaknya 
novita_f_20201030_00080_dongeng_yogyakarta,Berhasilkah ia menghabisi nyawa kakaknya? ,berhasilkah ia menghabisi nyawa kakaknya 
novita_f_20201030_00081_dongeng_yogyakarta,Ikuti kisahnya dalam cerita Lona Kaka dan Lona Rara berikut ini! ,ikuti kisahnya dalam cerita lona kaka dan lona rara berikut ini 
novita_f_20201030_00082_dongeng_yogyakarta,"Alkisah, di Desa Bukambero, Kodi, Sumba Barat, hiduplah sepasang suami-istri bersama dua orang anak gadisnya.",alkisah di desa bukambero kodi sumba barat hiduplah sepasang suami istri bersama dua orang anak gadisnya 
novita_f_20201030_00083_dongeng_yogyakarta,"Yang sulung bernama Lona Kaka, sedangkan si bungsu bernama Lona Rara.",yang sulung bernama lona kaka sedangkan si bungsu bernama lona rara 
novita_f_20201030_00084_dongeng_yogyakarta,Kedua kakak-beradik tersebut senantiasa mendapat perlakuan yang sama dari orang tua mereka.,kedua kakak beradik tersebut senantiasa mendapat perlakuan yang sama dari orang tua mereka 
novita_f_20201030_00085_dongeng_yogyakarta,"Namun, Lona Kaka selalu iri hati jika Lona Rara meraih sebuah keberhasilan.",namun lona kaka selalu iri hati jika lona rara meraih sebuah keberhasilan 
novita_f_20201030_00086_dongeng_yogyakarta,Ia pun selalu berusaha untuk mencelakai adiknya itu jika memperoleh keberhasilan.,ia pun selalu berusaha untuk mencelakai adiknya itu jika memperoleh keberhasilan 
novita_f_20201030_00087_dongeng_yogyakarta,"Untuk itu, ia membujuk adiknya agar mau menemaninya mengambil air di sungai.",untuk itu ia membujuk adiknya agar mau menemaninya mengambil air di sungai 
novita_f_20201030_00088_dongeng_yogyakarta,Ia pun menyuruh adiknya untuk berjalan di depannya.,ia pun menyuruh adiknya untuk berjalan di depannya 
novita_f_20201030_00089_dongeng_yogyakarta,"Dengan begitu, ia akan lebih mudah mengambil dendeng itu tanpa sepengetahuan adiknya.",dengan begitu ia akan lebih mudah mengambil dendeng itu tanpa sepengetahuan adiknya 
novita_f_20201030_00090_dongeng_yogyakarta,Maukah kamu menemani Kakak mengambil air di sungai? bujuk Lona Kaka.,maukah kamu menemani kakak mengambil air di sungai bujuk lona kaka 
novita_f_20201030_00091_dongeng_yogyakarta,"Lona Rara berjalan di depan, sedangkan Lona Kakak mengikutinya dari belakang.",lona rara berjalan di depan sedangkan lona kakak mengikutinya dari belakang 
novita_f_20201030_00092_dongeng_yogyakarta,"Tanpa curiga sedikit pun, Lona Rara menyimpan dendengnya di wadah airnya yang belakang.",tanpa curiga sedikit pun lona rara menyimpan dendengnya di wadah airnya yang belakang 
novita_f_20201030_00093_dongeng_yogyakarta,"Beberapa kali Lona Kaka berusaha untuk mengambil dendeng itu, namun tidak berhasil karena selalu ketahuan Lona Rara.",beberapa kali lona kaka berusaha untuk mengambil dendeng itu namun tidak berhasil karena selalu ketahuan lona rara 
novita_f_20201030_00094_dongeng_yogyakarta,"Meski begitu, Lona Kaka tidak kehabisan akal.",meski begitu lona kaka tidak kehabisan akal 
novita_f_20201030_00095_dongeng_yogyakarta,"Setibanya di sungai, ia segera turun ke sungai mendahului adiknya untuk mengambil air.",setibanya di sungai ia segera turun ke sungai mendahului adiknya untuk mengambil air 
novita_f_20201030_00096_dongeng_yogyakarta,Kini giliranmu untuk mengisi wadah airmu.,kini giliranmu untuk mengisi wadah airmu 
novita_f_20201030_00097_dongeng_yogyakarta,Sini Kakak bantu membawakan dendengmu agar kamu dapat mengambil air dengan leluasa! ujar Lona Kaka.,sini kakak bantu membawakan dendengmu agar kamu dapat mengambil air dengan leluasa ujar lona kaka 
novita_f_20201030_00098_dongeng_yogyakarta,Lona Rara pun menyambut baik tawaran kakaknya.,lona rara pun menyambut baik tawaran kakaknya 
novita_f_20201030_00099_dongeng_yogyakarta,"Setelah menitipkan dendeng miliknya kepada Lona Kaka, ia segera turun ke sungai untuk mengambil air.",setelah menitipkan dendeng miliknya kepada lona kaka ia segera turun ke sungai untuk mengambil air 
novita_f_20201030_00100_dongeng_yogyakarta,"Namun, baru mengisi setengah wadah airnya, tiba-tiba ia mendengar kakaknya berteriak.Rara...! ",namun baru mengisi setengah wadah airnya tiba tiba ia mendengar kakaknya berteriak rara 
novita_f_20201030_00101_dongeng_yogyakarta,"Melihat kakaknya mengejar anjing itu, ia pun turut mengejar hingga ke tengah hutan.",melihat kakaknya mengejar anjing itu ia pun turut mengejar hingga ke tengah hutan 
novita_f_20201030_00102_dongeng_yogyakarta,"Tanpa disadarinya, ternyata kakaknya telah pergi meninggalkannya.",tanpa disadarinya ternyata kakaknya telah pergi meninggalkannya 
novita_f_20201030_00103_dongeng_yogyakarta,"Saat akan kembali ke rumahnya, ia tersesat.",saat akan kembali ke rumahnya ia tersesat 
novita_f_20201030_00104_dongeng_yogyakarta,"Saat sedang asyik mandi, tiba-tiba ia melihat sebatang pohon jeruk yang berbuah lebat tumbuh di tepi sungai.",saat sedang asyik mandi tiba tiba ia melihat sebatang pohon jeruk yang berbuah lebat tumbuh di tepi sungai 
novita_f_20201030_00105_dongeng_yogyakarta,"Betapa terkejutnya ia ketika membelah buah jeruk itu, tiba-tiba muncul seorang pemuda tampan dan gagah di hadapannya.",betapa terkejutnya ia ketika membelah buah jeruk itu tiba tiba muncul seorang pemuda tampan dan gagah di hadapannya 
novita_f_20201030_00106_dongeng_yogyakarta,Ia pun langsung menjerit karena ia masih dalam keadaan tanpa busana.,ia pun langsung menjerit karena ia masih dalam keadaan tanpa busana 
novita_f_20201030_00107_dongeng_yogyakarta,"Ia sangat malu, karena pemuda itu telah melihat bagian tubuhnya yang selama ini ditutupinya.",ia sangat malu karena pemuda itu telah melihat bagian tubuhnya yang selama ini ditutupinya 
novita_f_20201030_00108_dongeng_yogyakarta,Lona Rara pun segera memakai kain tenun itu untuk menutupi tubuhnya.,lona rara pun segera memakai kain tenun itu untuk menutupi tubuhnya 
novita_f_20201030_00109_dongeng_yogyakarta,"Kenapa engkau tiba-tiba muncul dari dalam buah jeruk itu? tanya Lona Rara dengan malu-malu.Maaf, Putri! ",kenapa engkau tiba tiba muncul dari dalam buah jeruk itu tanya lona rara dengan malu malu maaf putri 
novita_f_20201030_00110_dongeng_yogyakarta,"Hati Lona Rara menjadi senang bercampur heran, karena tidak menyangka nyanyiannya telah menjadi kenyataan.",hati lona rara menjadi senang bercampur heran karena tidak menyangka nyanyiannya telah menjadi kenyataan 
novita_f_20201030_00111_dongeng_yogyakarta,Hari pun sudah mulai gelap.,hari pun sudah mulai gelap 
novita_f_20201030_00112_dongeng_yogyakarta,Gela Wuamaroto mengajak Lona Rara mencari tempat beristirahat.,gela wuamaroto mengajak lona rara mencari tempat beristirahat 
novita_f_20201030_00113_dongeng_yogyakarta,"Setelah itu, mereka saling berkenalan, saling jatuh cinta, dan akhirnya mereka pun menikah.",setelah itu mereka saling berkenalan saling jatuh cinta dan akhirnya mereka pun menikah 
novita_f_20201030_00114_dongeng_yogyakarta,"Karena asyik dimabuk cinta, Lona Rara menjadi lupa untuk kembali ke rumahnya.",karena asyik dimabuk cinta lona rara menjadi lupa untuk kembali ke rumahnya 
novita_f_20201030_00115_dongeng_yogyakarta,"Demikian pula, Gela Wuamaroto, ia lupa untuk mengantar pulang Lona Rara.",demikian pula gela wuamaroto ia lupa untuk mengantar pulang lona rara 
novita_f_20201030_00116_dongeng_yogyakarta,"Suatu hari, Lona Rara tiba-tiba teringat kepada keluarganya.",suatu hari lona rara tiba tiba teringat kepada keluarganya 
novita_f_20201030_00117_dongeng_yogyakarta,Ada kerinduan di hatinya ingin segera pulang dan bertemu dengan mereka.,ada kerinduan di hatinya ingin segera pulang dan bertemu dengan mereka 
novita_f_20201030_00118_dongeng_yogyakarta,"Setelah menempuh perjalanan selama setengah hari, sampailah mereka di Desa Bukambaro.",setelah menempuh perjalanan selama setengah hari sampailah mereka di desa bukambaro 
novita_f_20201030_00119_dongeng_yogyakarta,"Saat Lona Rara memasuki desa, seluruh warga terheran-heran melihat kedatangannya.",saat lona rara memasuki desa seluruh warga terheran heran melihat kedatangannya 
novita_f_20201030_00120_dongeng_yogyakarta,Apalagi ia datang bersama dengan seorang pemuda yang gagah dan tampan.,apalagi ia datang bersama dengan seorang pemuda yang gagah dan tampan 
novita_f_20201030_00121_dongeng_yogyakarta,"Sambil tersenyum-senyum, Lona Rara berjalan di samping suaminya menuju ke rumahnya.",sambil tersenyum senyum lona rara berjalan di samping suaminya menuju ke rumahnya 
novita_f_20201030_00122_dongeng_yogyakarta,"Saat tiba di halaman rumah, ia melihat rumahnya tampak sepi dan pintu rumahnya tertutup rapat.Ayah...Ibu...! ",saat tiba di halaman rumah ia melihat rumahnya tampak sepi dan pintu rumahnya tertutup rapat ayah ibu 
novita_f_20201030_00123_dongeng_yogyakarta,"Rara pulang! teriak Lona Rara dengan perasaan gembira.Berkali-kali Lona Rara berteriak, namun tak ada jawaban.",rara pulang teriak lona rara dengan perasaan gembira berkali kali lona rara berteriak namun tak ada jawaban 
novita_f_20201030_00124_dongeng_yogyakarta,"Beberapa saat kemudian, barulah pintu rumahnya terbuka pelan-pelan.",beberapa saat kemudian barulah pintu rumahnya terbuka pelan pelan 
novita_f_20201030_00125_dongeng_yogyakarta,"Saat pintu terbuka, tampaklah kakaknya, Lona Kaka, sedang membuka pintu dan berdiri di depan pintu dengan wajah memerah.",saat pintu terbuka tampaklah kakaknya lona kaka sedang membuka pintu dan berdiri di depan pintu dengan wajah memerah 
novita_f_20201030_00126_dongeng_yogyakarta,Ia seakan tidak percaya bahwa adiknya masih hidup.,ia seakan tidak percaya bahwa adiknya masih hidup 
novita_f_20201030_00127_dongeng_yogyakarta,"Ia pun langsung memeluk Lona Rara.Maafkan aku, Adikku! ",ia pun langsung memeluk lona rara maafkan aku adikku 
novita_f_20201030_00128_dongeng_yogyakarta,"Kakak telah meninggalkanmu seorang diri di tengah hutan, ucap Lona Kaka.Sudahlah, Kak! ",kakak telah meninggalkanmu seorang diri di tengah hutan ucap lona kaka sudahlah kak 
novita_f_20201030_00129_dongeng_yogyakarta,"Yang penting Adik selamat dan bisa kembali berkumpul bersama kalian, bujuk Lona Rara.O iya, Kak! ",yang penting adik selamat dan bisa kembali berkumpul bersama kalian bujuk lona rara o iya kak 
novita_f_20201030_00130_dongeng_yogyakarta,Ayah dan Ibu sudah tiada.,ayah dan ibu sudah tiada 
novita_f_20201030_00131_dongeng_yogyakarta,"yang lalu, Ayah dan Ibu mendapat celaka saat mencari Adik di tengah hutan ",yang lalu ayah dan ibu mendapat celaka saat mencari adik di tengah hutan 
novita_f_20201030_00132_dongeng_yogyakarta,Ia menangis tersedu-sedu meratapi kepergian Ayah dan Ibu yang sangat dicintainya.,ia menangis tersedu sedu meratapi kepergian ayah dan ibu yang sangat dicintainya 
novita_f_20201030_00133_dongeng_yogyakarta,"Sejenak, suasana di depan rumah yang sederhana itu pun tiba-tiba menjadi hening.",sejenak suasana di depan rumah yang sederhana itu pun tiba tiba menjadi hening 
novita_f_20201030_00134_dongeng_yogyakarta,"Beberapa saat kemudian, Lona Rara meminta kepada kakaknya agar mengantarnya ke tempat pemakaman kedua orang tua mereka.",beberapa saat kemudian lona rara meminta kepada kakaknya agar mengantarnya ke tempat pemakaman kedua orang tua mereka 
novita_f_20201030_00135_dongeng_yogyakarta,Semuanya sudah diatur oleh Yang Mahakuasa.,semuanya sudah diatur oleh yang mahakuasa 
novita_f_20201030_00136_dongeng_yogyakarta,Ayo kita kembali ke rumah! bujuk Gela Wuamaroto.Lona Rara bersama suami dan kakaknya pun kembali ke rumah.,ayo kita kembali ke rumah bujuk gela wuamaroto lona rara bersama suami dan kakaknya pun kembali ke rumah 
novita_f_20201030_00137_dongeng_yogyakarta,"Sebelum mandi, ia memetik satu buah jeruk yang sudah menguning.",sebelum mandi ia memetik satu buah jeruk yang sudah menguning 
novita_f_20201030_00138_dongeng_yogyakarta,"Begitu ia membelah jeruk itu, bukannya pemuda tampan yang muncul, melainkan seorang lelaki tua berjenggot putih.",begitu ia membelah jeruk itu bukannya pemuda tampan yang muncul melainkan seorang lelaki tua berjenggot putih 
novita_f_20201030_00139_dongeng_yogyakarta,Ia pun langsung menjerit ketakutan dan berlari meninggalkan tempat itu.,ia pun langsung menjerit ketakutan dan berlari meninggalkan tempat itu 
novita_f_20201030_00140_dongeng_yogyakarta,"Dalam ketermenungannya, tiba-tiba muncul dalam pikirannya ingin merebut suami adiknya.",dalam ketermenungannya tiba tiba muncul dalam pikirannya ingin merebut suami adiknya 
novita_f_20201030_00141_dongeng_yogyakarta,Kanda ingin berdagang ke negeri seberang.,kanda ingin berdagang ke negeri seberang 
novita_f_20201030_00142_dongeng_yogyakarta,Barangkali Kanda harus pergi dalam waktu yang cukup lama.,barangkali kanda harus pergi dalam waktu yang cukup lama 
novita_f_20201030_00143_dongeng_yogyakarta,"Apakah Dinda bersedia mengizinkan Kanda? bujuk Gela Wuamaroto.Baiklah, Kanda! ",apakah dinda bersedia mengizinkan kanda bujuk gela wuamaroto baiklah kanda 
