filename,transcript_perekaman,transcript_training
rakagu_m_20201030_0077_wilayah1_semarang,Wilayah KABUPATEN PADANG LAWAS UTARA terletak di Indonesia ,wilayah kabupaten padang lawas utara terletak di indonesia 
rakagu_m_20201030_0078_wilayah1_semarang,Wilayah KABUPATEN PADANG LAWAS terletak di Indonesia ,wilayah kabupaten padang lawas terletak di indonesia 
rakagu_m_20201030_0079_wilayah1_semarang,Wilayah KABUPATEN LABUHAN BATU SELATAN terletak di Indonesia ,wilayah kabupaten labuhan batu selatan terletak di indonesia 
rakagu_m_20201030_0080_wilayah1_semarang,Wilayah KABUPATEN LABUHAN BATU UTARA terletak di Indonesia ,wilayah kabupaten labuhan batu utara terletak di indonesia 
rakagu_m_20201030_0081_wilayah1_semarang,Wilayah KABUPATEN NIAS UTARA terletak di Indonesia ,wilayah kabupaten nias utara terletak di indonesia 
rakagu_m_20201030_0082_wilayah1_semarang,Wilayah KABUPATEN NIAS BARAT terletak di Indonesia ,wilayah kabupaten nias barat terletak di indonesia 
rakagu_m_20201030_0083_wilayah1_semarang,Wilayah KOTA SIBOLGA terletak di Indonesia ,wilayah kota sibolga terletak di indonesia 
rakagu_m_20201030_0084_wilayah1_semarang,Wilayah KOTA TANJUNG BALAI terletak di Indonesia ,wilayah kota tanjung balai terletak di indonesia 
rakagu_m_20201030_0085_wilayah1_semarang,Wilayah KOTA PEMATANG SIANTAR terletak di Indonesia ,wilayah kota pematang siantar terletak di indonesia 
rakagu_m_20201030_0086_wilayah1_semarang,Wilayah KOTA TEBING TINGGI terletak di Indonesia ,wilayah kota tebing tinggi terletak di indonesia 
rakagu_m_20201030_0087_wilayah1_semarang,Wilayah KOTA MEDAN terletak di Indonesia ,wilayah kota medan terletak di indonesia 
rakagu_m_20201030_0088_wilayah1_semarang,Wilayah KOTA BINJAI terletak di Indonesia ,wilayah kota binjai terletak di indonesia 
rakagu_m_20201030_0089_wilayah1_semarang,Wilayah KOTA PADANGSIDIMPUAN terletak di Indonesia ,wilayah kota padangsidimpuan terletak di indonesia 
rakagu_m_20201030_0090_wilayah1_semarang,Wilayah KOTA GUNUNGSITOLI terletak di Indonesia ,wilayah kota gunungsitoli terletak di indonesia 
rakagu_m_20201030_0091_wilayah1_semarang,Wilayah KABUPATEN KEPULAUAN MENTAWAI terletak di Indonesia ,wilayah kabupaten kepulauan mentawai terletak di indonesia 
rakagu_m_20201030_0092_wilayah1_semarang,Wilayah KABUPATEN PESISIR SELATAN terletak di Indonesia ,wilayah kabupaten pesisir selatan terletak di indonesia 
rakagu_m_20201030_0093_wilayah1_semarang,Wilayah KABUPATEN SOLOK terletak di Indonesia ,wilayah kabupaten solok terletak di indonesia 
rakagu_m_20201030_0094_wilayah1_semarang,Wilayah KABUPATEN SIJUNJUNG terletak di Indonesia ,wilayah kabupaten sijunjung terletak di indonesia 
rakagu_m_20201030_0095_wilayah1_semarang,Wilayah KABUPATEN TANAH DATAR terletak di Indonesia ,wilayah kabupaten tanah datar terletak di indonesia 
rakagu_m_20201030_0096_wilayah1_semarang,Wilayah KABUPATEN PADANG PARIAMAN terletak di Indonesia ,wilayah kabupaten padang pariaman terletak di indonesia 
rakagu_m_20201030_0097_wilayah1_semarang,Wilayah KABUPATEN AGAM terletak di Indonesia ,wilayah kabupaten agam terletak di indonesia 
rakagu_m_20201030_0098_wilayah1_semarang,Wilayah KABUPATEN LIMA PULUH KOTA terletak di Indonesia ,wilayah kabupaten lima puluh kota terletak di indonesia 
rakagu_m_20201030_0099_wilayah1_semarang,Wilayah KABUPATEN PASAMAN terletak di Indonesia ,wilayah kabupaten pasaman terletak di indonesia 
rakagu_m_20201030_0100_wilayah1_semarang,Wilayah KABUPATEN SOLOK SELATAN terletak di Indonesia ,wilayah kabupaten solok selatan terletak di indonesia 
rakagu_m_20201030_0101_wilayah1_semarang,Wilayah KABUPATEN DHARMASRAYA terletak di Indonesia ,wilayah kabupaten dharmasraya terletak di indonesia 
rakagu_m_20201030_0102_wilayah1_semarang,Wilayah KABUPATEN PASAMAN BARAT terletak di Indonesia ,wilayah kabupaten pasaman barat terletak di indonesia 
rakagu_m_20201030_0103_wilayah1_semarang,Wilayah KOTA PADANG terletak di Indonesia ,wilayah kota padang terletak di indonesia 
rakagu_m_20201030_0104_wilayah1_semarang,Wilayah KOTA SOLOK terletak di Indonesia ,wilayah kota solok terletak di indonesia 
rakagu_m_20201030_0105_wilayah1_semarang,Wilayah KOTA SAWAH LUNTO terletak di Indonesia ,wilayah kota sawah lunto terletak di indonesia 
rakagu_m_20201030_0106_wilayah1_semarang,Wilayah KOTA PADANG PANJANG terletak di Indonesia ,wilayah kota padang panjang terletak di indonesia 
rakagu_m_20201030_0107_wilayah1_semarang,Wilayah KOTA BUKITTINGGI terletak di Indonesia ,wilayah kota bukittinggi terletak di indonesia 
rakagu_m_20201030_0108_wilayah1_semarang,Wilayah KOTA PAYAKUMBUH terletak di Indonesia ,wilayah kota payakumbuh terletak di indonesia 
rakagu_m_20201030_0109_wilayah1_semarang,Wilayah KOTA PARIAMAN terletak di Indonesia ,wilayah kota pariaman terletak di indonesia 
rakagu_m_20201030_0110_wilayah1_semarang,Wilayah KABUPATEN KUANTAN SINGINGI terletak di Indonesia ,wilayah kabupaten kuantan singingi terletak di indonesia 
rakagu_m_20201030_0111_wilayah1_semarang,Wilayah KABUPATEN INDRAGIRI HULU terletak di Indonesia ,wilayah kabupaten indragiri hulu terletak di indonesia 
rakagu_m_20201030_0112_wilayah1_semarang,Wilayah KABUPATEN INDRAGIRI HILIR terletak di Indonesia ,wilayah kabupaten indragiri hilir terletak di indonesia 
rakagu_m_20201030_0113_wilayah1_semarang,Wilayah KABUPATEN PELALAWAN terletak di Indonesia ,wilayah kabupaten pelalawan terletak di indonesia 
rakagu_m_20201030_0114_wilayah1_semarang,Wilayah KABUPATEN S I A K terletak di Indonesia ,wilayah kabupaten s i a k terletak di indonesia 
rakagu_m_20201030_0115_wilayah1_semarang,Wilayah KABUPATEN KAMPAR terletak di Indonesia ,wilayah kabupaten kampar terletak di indonesia 
rakagu_m_20201030_0116_wilayah1_semarang,Wilayah KABUPATEN ROKAN HULU terletak di Indonesia ,wilayah kabupaten rokan hulu terletak di indonesia 
rakagu_m_20201030_0117_wilayah1_semarang,Wilayah KABUPATEN BENGKALIS terletak di Indonesia ,wilayah kabupaten bengkalis terletak di indonesia 
rakagu_m_20201030_0118_wilayah1_semarang,Wilayah KABUPATEN ROKAN HILIR terletak di Indonesia ,wilayah kabupaten rokan hilir terletak di indonesia 
rakagu_m_20201030_0119_wilayah1_semarang,Wilayah KABUPATEN KEPULAUAN MERANTI terletak di Indonesia ,wilayah kabupaten kepulauan meranti terletak di indonesia 
rakagu_m_20201030_0120_wilayah1_semarang,Wilayah KOTA PEKANBARU terletak di Indonesia ,wilayah kota pekanbaru terletak di indonesia 
rakagu_m_20201030_0121_wilayah1_semarang,Wilayah KOTA D U M A I terletak di Indonesia ,wilayah kota d u m a i terletak di indonesia 
rakagu_m_20201030_0122_wilayah1_semarang,Wilayah KABUPATEN KERINCI terletak di Indonesia ,wilayah kabupaten kerinci terletak di indonesia 
rakagu_m_20201030_0123_wilayah1_semarang,Wilayah KABUPATEN MERANGIN terletak di Indonesia ,wilayah kabupaten merangin terletak di indonesia 
rakagu_m_20201030_0124_wilayah1_semarang,Wilayah KABUPATEN SAROLANGUN terletak di Indonesia ,wilayah kabupaten sarolangun terletak di indonesia 
rakagu_m_20201030_0125_wilayah1_semarang,Wilayah KABUPATEN BATANG HARI terletak di Indonesia ,wilayah kabupaten batang hari terletak di indonesia 
rakagu_m_20201030_0126_wilayah1_semarang,Wilayah KABUPATEN MUARO JAMBI terletak di Indonesia ,wilayah kabupaten muaro jambi terletak di indonesia 
rakagu_m_20201030_0127_wilayah1_semarang,Wilayah KABUPATEN TANJUNG JABUNG TIMUR terletak di Indonesia ,wilayah kabupaten tanjung jabung timur terletak di indonesia 
rakagu_m_20201030_0128_wilayah1_semarang,Wilayah KABUPATEN TANJUNG JABUNG BARAT terletak di Indonesia ,wilayah kabupaten tanjung jabung barat terletak di indonesia 
rakagu_m_20201030_0129_wilayah1_semarang,Wilayah KABUPATEN TEBO terletak di Indonesia ,wilayah kabupaten tebo terletak di indonesia 
rakagu_m_20201030_0130_wilayah1_semarang,Wilayah KABUPATEN BUNGO terletak di Indonesia ,wilayah kabupaten bungo terletak di indonesia 
rakagu_m_20201030_0131_wilayah1_semarang,Wilayah KOTA JAMBI terletak di Indonesia ,wilayah kota jambi terletak di indonesia 
rakagu_m_20201030_0132_wilayah1_semarang,Wilayah KOTA SUNGAI PENUH terletak di Indonesia ,wilayah kota sungai penuh terletak di indonesia 
rakagu_m_20201030_0133_wilayah1_semarang,Wilayah KABUPATEN OGAN KOMERING ULU terletak di Indonesia ,wilayah kabupaten ogan komering ulu terletak di indonesia 
rakagu_m_20201030_0134_wilayah1_semarang,Wilayah KABUPATEN OGAN KOMERING ILIR terletak di Indonesia ,wilayah kabupaten ogan komering ilir terletak di indonesia 
rakagu_m_20201030_0135_wilayah1_semarang,Wilayah KABUPATEN MUARA ENIM terletak di Indonesia ,wilayah kabupaten muara enim terletak di indonesia 
rakagu_m_20201030_0136_wilayah1_semarang,Wilayah KABUPATEN LAHAT terletak di Indonesia ,wilayah kabupaten lahat terletak di indonesia 
rakagu_m_20201030_0137_wilayah1_semarang,Wilayah KABUPATEN MUSI RAWAS terletak di Indonesia ,wilayah kabupaten musi rawas terletak di indonesia 
rakagu_m_20201030_0138_wilayah1_semarang,Wilayah KABUPATEN MUSI BANYUASIN terletak di Indonesia ,wilayah kabupaten musi banyuasin terletak di indonesia 
rakagu_m_20201030_0139_wilayah1_semarang,Wilayah KABUPATEN BANYU ASIN terletak di Indonesia ,wilayah kabupaten banyu asin terletak di indonesia 
rakagu_m_20201030_0140_wilayah1_semarang,Wilayah KABUPATEN OGAN KOMERING ULU SELATAN terletak di Indonesia ,wilayah kabupaten ogan komering ulu selatan terletak di indonesia 
rakagu_m_20201030_0141_wilayah1_semarang,Wilayah KABUPATEN OGAN KOMERING ULU TIMUR terletak di Indonesia ,wilayah kabupaten ogan komering ulu timur terletak di indonesia 
rakagu_m_20201030_0142_wilayah1_semarang,Wilayah KABUPATEN OGAN ILIR terletak di Indonesia ,wilayah kabupaten ogan ilir terletak di indonesia 
rakagu_m_20201030_0143_wilayah1_semarang,Wilayah KABUPATEN EMPAT LAWANG terletak di Indonesia ,wilayah kabupaten empat lawang terletak di indonesia 
rakagu_m_20201030_0144_wilayah1_semarang,Wilayah KABUPATEN PENUKAL ABAB LEMATANG ILIR terletak di Indonesia ,wilayah kabupaten penukal abab lematang ilir terletak di indonesia 
rakagu_m_20201030_0145_wilayah1_semarang,Wilayah KABUPATEN MUSI RAWAS UTARA terletak di Indonesia ,wilayah kabupaten musi rawas utara terletak di indonesia 
rakagu_m_20201030_0146_wilayah1_semarang,Wilayah KOTA PALEMBANG terletak di Indonesia ,wilayah kota palembang terletak di indonesia 
rakagu_m_20201030_0147_wilayah1_semarang,Wilayah KOTA PRABUMULIH terletak di Indonesia ,wilayah kota prabumulih terletak di indonesia 
rakagu_m_20201030_0148_wilayah1_semarang,Wilayah KOTA PAGAR ALAM terletak di Indonesia ,wilayah kota pagar alam terletak di indonesia 
rakagu_m_20201030_0149_wilayah1_semarang,Wilayah KOTA LUBUKLINGGAU terletak di Indonesia ,wilayah kota lubuklinggau terletak di indonesia 
rakagu_m_20201030_0150_wilayah1_semarang,Wilayah KABUPATEN BENGKULU SELATAN terletak di Indonesia ,wilayah kabupaten bengkulu selatan terletak di indonesia 
rakagu_m_20201030_0151_wilayah1_semarang,Wilayah KABUPATEN REJANG LEBONG terletak di Indonesia ,wilayah kabupaten rejang lebong terletak di indonesia 
rakagu_m_20201030_0152_wilayah1_semarang,Wilayah KABUPATEN BENGKULU UTARA terletak di Indonesia ,wilayah kabupaten bengkulu utara terletak di indonesia 
rakagu_m_20201030_0153_wilayah1_semarang,Wilayah KABUPATEN KAUR terletak di Indonesia ,wilayah kabupaten kaur terletak di indonesia 
rakagu_m_20201030_0154_wilayah1_semarang,Wilayah KABUPATEN SELUMA terletak di Indonesia ,wilayah kabupaten seluma terletak di indonesia 
rakagu_m_20201030_0155_wilayah1_semarang,Wilayah KABUPATEN MUKOMUKO terletak di Indonesia ,wilayah kabupaten mukomuko terletak di indonesia 
rakagu_m_20201030_0156_wilayah1_semarang,Wilayah KABUPATEN LEBONG terletak di Indonesia ,wilayah kabupaten lebong terletak di indonesia 
rakagu_m_20201030_0157_wilayah1_semarang,Wilayah KABUPATEN KEPAHIANG terletak di Indonesia ,wilayah kabupaten kepahiang terletak di indonesia 
rakagu_m_20201030_0158_wilayah1_semarang,Wilayah KABUPATEN BENGKULU TENGAH terletak di Indonesia ,wilayah kabupaten bengkulu tengah terletak di indonesia 
rakagu_m_20201030_0159_wilayah1_semarang,Wilayah KOTA BENGKULU terletak di Indonesia ,wilayah kota bengkulu terletak di indonesia 
rakagu_m_20201030_0160_wilayah1_semarang,Wilayah KABUPATEN LAMPUNG BARAT terletak di Indonesia ,wilayah kabupaten lampung barat terletak di indonesia 
rakagu_m_20201030_0161_wilayah1_semarang,Wilayah KABUPATEN TANGGAMUS terletak di Indonesia ,wilayah kabupaten tanggamus terletak di indonesia 
rakagu_m_20201030_0162_wilayah1_semarang,Wilayah KABUPATEN LAMPUNG SELATAN terletak di Indonesia ,wilayah kabupaten lampung selatan terletak di indonesia 
rakagu_m_20201030_0163_wilayah1_semarang,Wilayah KABUPATEN LAMPUNG TIMUR terletak di Indonesia ,wilayah kabupaten lampung timur terletak di indonesia 
rakagu_m_20201030_0164_wilayah1_semarang,Wilayah KABUPATEN LAMPUNG TENGAH terletak di Indonesia ,wilayah kabupaten lampung tengah terletak di indonesia 
rakagu_m_20201030_0165_wilayah1_semarang,Wilayah KABUPATEN LAMPUNG UTARA terletak di Indonesia ,wilayah kabupaten lampung utara terletak di indonesia 
rakagu_m_20201030_0166_wilayah1_semarang,Wilayah KABUPATEN WAY KANAN terletak di Indonesia ,wilayah kabupaten way kanan terletak di indonesia 
rakagu_m_20201030_0167_wilayah1_semarang,Wilayah KABUPATEN TULANGBAWANG terletak di Indonesia ,wilayah kabupaten tulangbawang terletak di indonesia 
rakagu_m_20201030_0168_wilayah1_semarang,Wilayah KABUPATEN PESAWARAN terletak di Indonesia ,wilayah kabupaten pesawaran terletak di indonesia 
rakagu_m_20201030_0169_wilayah1_semarang,Wilayah KABUPATEN PRINGSEWU terletak di Indonesia ,wilayah kabupaten pringsewu terletak di indonesia 
rakagu_m_20201030_0170_wilayah1_semarang,Wilayah KABUPATEN MESUJI terletak di Indonesia ,wilayah kabupaten mesuji terletak di indonesia 
rakagu_m_20201030_0171_wilayah1_semarang,Wilayah KABUPATEN TULANG BAWANG BARAT terletak di Indonesia ,wilayah kabupaten tulang bawang barat terletak di indonesia 
rakagu_m_20201030_0172_wilayah1_semarang,Wilayah KABUPATEN PESISIR BARAT terletak di Indonesia ,wilayah kabupaten pesisir barat terletak di indonesia 
rakagu_m_20201030_0173_wilayah1_semarang,Wilayah KOTA BANDAR LAMPUNG terletak di Indonesia ,wilayah kota bandar lampung terletak di indonesia 
rakagu_m_20201030_0174_wilayah1_semarang,Wilayah KOTA METRO terletak di Indonesia ,wilayah kota metro terletak di indonesia 
rakagu_m_20201030_0175_wilayah1_semarang,Wilayah KABUPATEN BANGKA terletak di Indonesia ,wilayah kabupaten bangka terletak di indonesia 
rakagu_m_20201030_0176_wilayah1_semarang,Wilayah KABUPATEN BELITUNG terletak di Indonesia ,wilayah kabupaten belitung terletak di indonesia 
rakagu_m_20201030_0177_wilayah1_semarang,Wilayah KABUPATEN BANGKA BARAT terletak di Indonesia ,wilayah kabupaten bangka barat terletak di indonesia 
rakagu_m_20201030_0178_wilayah1_semarang,Wilayah KABUPATEN BANGKA TENGAH terletak di Indonesia ,wilayah kabupaten bangka tengah terletak di indonesia 
rakagu_m_20201030_0179_wilayah1_semarang,Wilayah KABUPATEN BANGKA SELATAN terletak di Indonesia ,wilayah kabupaten bangka selatan terletak di indonesia 
rakagu_m_20201030_0180_wilayah1_semarang,Wilayah KABUPATEN BELITUNG TIMUR terletak di Indonesia ,wilayah kabupaten belitung timur terletak di indonesia 
